coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': 25.9086, 'lat': -24.6545}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 288.73, 'feels_like': 287.05, 'temp_min': 288.73, 'temp_max': 288.73, 'pressure': 1018, 'humidity': 27, 'sea_level': 1018, 'grnd_level': 905}",10000,"{'speed': 1.58, 'deg': 54, 'gust': 1.65}",{'all': 0},1725584122,"{'country': 'BW', 'sunrise': 1725596568, 'sunset': 1725638814}",7200,933773,Gaborone,200
"{'lon': -47.9297, 'lat': -15.7797}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 297.66, 'feels_like': 297.11, 'temp_min': 297.66, 'temp_max': 297.66, 'pressure': 1017, 'humidity': 36, 'sea_level': 1017, 'grnd_level': 891}",8000,"{'speed': 1.54, 'deg': 70}",{'all': 0},1725584123,"{'type': 1, 'id': 8336, 'country': 'BR', 'sunrise': 1725527670, 'sunset': 1725570387}",-10800,3469058,Brasília,200
"{'lon': 114.9481, 'lat': 4.9403}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 302.14, 'feels_like': 306.62, 'temp_min': 299.77, 'temp_max': 302.14, 'pressure': 1009, 'humidity': 74, 'sea_level': 1009, 'grnd_level': 1007}",9000,"{'speed': 3.09, 'deg': 200}",{'all': 75},1725584125,"{'type': 1, 'id': 9377, 'country': 'BN', 'sunrise': 1725574392, 'sunset': 1725618261}",28800,1820906,Brunei Town,200
"{'lon': 23.3242, 'lat': 42.6975}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 291.63, 'feels_like': 291.28, 'temp_min': 289.98, 'temp_max': 291.63, 'pressure': 1014, 'humidity': 67, 'sea_level': 1014, 'grnd_level': 936}",10000,"{'speed': 0, 'deg': 0}",{'all': 31},1725584126,"{'type': 2, 'id': 2033225, 'country': 'BG', 'sunrise': 1725595033, 'sunset': 1725641590}",10800,727011,Sofia,200
"{'lon': -1.5383, 'lat': 12.3642}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 297.13, 'feels_like': 297.78, 'temp_min': 297.13, 'temp_max': 297.13, 'pressure': 1011, 'humidity': 84, 'sea_level': 1011, 'grnd_level': 978}",10000,"{'speed': 5.01, 'deg': 187, 'gust': 11.12}",{'all': 100},1725584127,"{'country': 'BF', 'sunrise': 1725602140, 'sunset': 1725646414}",0,2357048,Ouagadougou,200
"{'lon': 29.95, 'lat': -3.5}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 291.24, 'feels_like': 290.65, 'temp_min': 291.24, 'temp_max': 291.24, 'pressure': 1014, 'humidity': 59, 'sea_level': 1014, 'grnd_level': 839}",10000,"{'speed': 1.05, 'deg': 240, 'gust': 1.12}",{'all': 83},1725584128,"{'country': 'BI', 'sunrise': 1725595014, 'sunset': 1725638429}",7200,426271,Gitega Province,200
"{'lon': 104.916, 'lat': 11.5625}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 302.1, 'feels_like': 308.63, 'temp_min': 302.1, 'temp_max': 302.1, 'pressure': 1006, 'humidity': 84, 'sea_level': 1006, 'grnd_level': 1005}",10000,"{'speed': 3.09, 'deg': 220}",{'all': 40},1725584129,"{'type': 1, 'id': 9109, 'country': 'KH', 'sunrise': 1725576614, 'sunset': 1725620854}",25200,1821306,Phnom Penh,200
"{'lon': 11.5167, 'lat': 3.8667}","[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 294.89, 'feels_like': 295.57, 'temp_min': 294.89, 'temp_max': 294.89, 'pressure': 1013, 'humidity': 94, 'sea_level': 1013, 'grnd_level': 932}",8000,"{'speed': 2.57, 'deg': 220}",{'1h': 0.84},{'all': 75},1725584130,"{'type': 1, 'id': 2111, 'country': 'CM', 'sunrise': 1725599241, 'sunset': 1725643048}",3600,2220957,Yaoundé,200
"{'lon': -75.6981, 'lat': 45.4112}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 292.01, 'feels_like': 291.73, 'temp_min': 289.33, 'temp_max': 292.06, 'pressure': 1022, 'humidity': 68, 'sea_level': 1022, 'grnd_level': 1011}",10000,"{'speed': 1.54, 'deg': 70}",{'all': 20},1725583926,"{'type': 1, 'id': 851, 'country': 'CA', 'sunrise': 1725532192, 'sunset': 1725579191}",-14400,6094817,Ottawa,200
"{'lon': -23.5087, 'lat': 14.9215}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 299.45, 'feels_like': 299.45, 'temp_min': 299.45, 'temp_max': 299.45, 'pressure': 1013, 'humidity': 78, 'sea_level': 1013, 'grnd_level': 1002}",10000,"{'speed': 6.17, 'deg': 30}",{'all': 75},1725584001,"{'type': 1, 'id': 2462, 'country': 'CV', 'sunrise': 1725520936, 'sunset': 1725565403}",-3600,3374333,Praia,200
